"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"47294","RB","Terrence","Franks","0","0","5200","PIT@STL","STL","PIT","","","",""
"25813","WR","Phillip","Dorsett","3.3","2","5200","IND@TEN","IND","TEN","","","",""
"39449","WR","Charles","Johnson","3.1","2","5200","SD@MIN","MIN","SD","","","",""
"16923","TE","Austin","Seferian-Jenkins","14.7","2","5200","TB@HOU","TB","HOU","O","Shoulder","",""
"8051","QB","Luke","McCown","0","2","5200","NO@CAR","NO","CAR","","","",""
"6814","QB","Tarvaris","Jackson","6.1","1","5200","CHI@SEA","SEA","CHI","P","Ankle","",""
"7919","QB","Kellen","Clemens","3.4","2","5200","SD@MIN","SD","MIN","","","",""
"28860","RB","Montee","Ball","6.4","5","5200","DEN@DET","DEN","DET","","","",""
"6863","TE","Delanie","Walker","11.8","1","5200","IND@TEN","TEN","IND","P","Wrist","",""
"7744","QB","Drew","Stanton","10.9","9","5200","SF@ARI","ARI","SF","","","",""
"29780","TE","Zach","Ertz","4.7","2","5200","PHI@NYJ","PHI","NYJ","","","",""
"21972","WR","Brian","Quick","9.7","7","5100","PIT@STL","STL","PIT","NA","","",""
"44952","RB","Dri","Archer","0","2","5100","PIT@STL","PIT","STL","","","",""
"41807","RB","Michael","Dyer","0","0","5100","OAK@CLE","OAK","CLE","","","",""
"25272","TE","Eric","Ebron","13.1","2","5100","DEN@DET","DET","DEN","","","",""
"39373","WR","Jaelen","Strong","0","0","5100","TB@HOU","HOU","TB","","","",""
"25410","QB","Mike","Glennon","15.9","6","5100","TB@HOU","TB","HOU","","","",""
"25760","WR","Allen","Hurns","7.7","2","5100","JAC@NE","JAC","NE","P","Thigh","",""
"31047","QB","AJ","McCarron","0","0","5100","CIN@BAL","CIN","BAL","","","",""
"14696","QB","Scott","Tolzien","0","0","5100","KC@GB","GB","KC","","","",""
"29003","RB","Ka'Deem","Carey","1.7","14","5100","CHI@SEA","CHI","SEA","","","",""
"6844","QB","Shaun","Hill","10.8","9","5100","SD@MIN","MIN","SD","","","",""
"26094","WR","Brandon","Coleman","8.5","2","5100","NO@CAR","NO","CAR","","","",""
"7788","WR","Louis","Murphy","4.9","2","5100","TB@HOU","TB","HOU","","","",""
"22054","WR","Jarius","Wright","4.2","2","5100","SD@MIN","MIN","SD","","","",""
"14344","QB","T.J.","Yates","1.6","1","5100","ATL@DAL","ATL","DAL","","","",""
"34014","WR","Aaron","Dobson","6.8","2","5000","JAC@NE","NE","JAC","","","",""
"14952","K","Dan","Bailey","8.5","2","5000","ATL@DAL","DAL","ATL","","","",""
"54604","QB","Jimmy","Garoppolo","2","6","5000","JAC@NE","NE","JAC","","","",""
"11436","QB","Tim","Tebow","0","0","5000","PHI@NYJ","PHI","NYJ","","","",""
"12556","D","Houston","Texans","4","2","5000","TB@HOU","HOU","TB","","","",""
"28930","RB","James","White","0","1","5000","JAC@NE","NE","JAC","","","",""
"7900","K","Stephen","Gostkowski","11.5","2","5000","JAC@NE","NE","JAC","","","",""
"23045","K","Justin","Tucker","12.5","2","5000","CIN@BAL","BAL","CIN","","","",""
"22165","RB","Bryce","Brown","5.2","7","5000","BUF@MIA","BUF","MIA","","","",""
"6897","K","Mason","Crosby","11.5","2","5000","KC@GB","GB","KC","","","",""
"11761","QB","Thaddeus","Lewis","0","0","5000","PHI@NYJ","PHI","NYJ","NA","","",""
"22103","WR","Marvin","Jones","7.5","2","5000","CIN@BAL","CIN","BAL","","","",""
"44090","RB","Alonzo","Harris","0","0","5000","KC@GB","GB","KC","","","",""
